circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
neg_or_tree,32,sbc,gecode,minizinc,SAT,0.15934467315673828,0.16161052385965982,0.006102526910304898,0.15696501731872559,0.16852188110351562,3
neg_or_tree,32,sbc,chuffed,minizinc,SAT,0.1511518955230713,0.15171519915262857,0.007674478975426247,0.14433789253234863,0.15965580940246582,3
neg_or_tree,32,sbc,z3,smt,SAT,0.015803813934326172,0.01567840576171875,0.0022482893246977436,0.013370037078857422,0.017861366271972656,3
neg_or_tree,32,sbc,cvc5,smt,SAT,0.01893162727355957,0.018161853154500324,0.0023196789492839266,0.015555143356323242,0.019998788833618164,3
neg_or_tree,32,sbc_half,gecode,minizinc,SAT,0.16737866401672363,0.16644827524820963,0.008069905469648512,0.15795350074768066,0.1740126609802246,3
neg_or_tree,32,sbc_half,chuffed,minizinc,SAT,0.15361714363098145,0.1553796927134196,0.005930894383878964,0.1505298614501953,0.16199207305908203,3
neg_or_tree,32,sbc_half,z3,smt,SAT,0.015622138977050781,0.016960779825846355,0.0028364750173203736,0.015041351318359375,0.020218849182128906,3
neg_or_tree,32,sbc_half,cvc5,smt,SAT,0.013962984085083008,0.013670921325683594,0.0010222942461321737,0.012534379959106445,0.014515399932861328,3
neg_or_tree,64,base,gecode,minizinc,SAT,0.17240023612976074,0.1739943822224935,0.007348144163528844,0.16757416725158691,0.1820087432861328,3
neg_or_tree,64,base,chuffed,minizinc,SAT,0.15831398963928223,0.1614230473836263,0.011832589361567444,0.15145540237426758,0.1744997501373291,3
neg_or_tree,64,base,z3,smt,SAT,0.02264714241027832,0.02357904116312663,0.0035825345345494733,0.020554542541503906,0.027535438537597656,3
neg_or_tree,64,base,cvc5,smt,SAT,0.03472590446472168,0.03550426165262858,0.0032441544861522773,0.032720088958740234,0.03906679153442383,3
neg_or_tree,64,sbc,gecode,minizinc,SAT,0.16770625114440918,0.167144775390625,0.005840669695062852,0.16104364395141602,0.1726844310760498,3
neg_or_tree,64,sbc,chuffed,minizinc,SAT,0.15466713905334473,0.15776753425598145,0.012394774105715817,0.1472172737121582,0.1714181900024414,3
neg_or_tree,64,sbc,z3,smt,SAT,0.020124197006225586,0.019196748733520508,0.002075499175330999,0.016819238662719727,0.02064681053161621,3
neg_or_tree,64,sbc,cvc5,smt,SAT,0.0316472053527832,0.03182633717854818,0.0015849874970506384,0.030338525772094727,0.0334932804107666,3
neg_or_tree,64,sbc_half,gecode,minizinc,SAT,0.1653428077697754,0.1686689853668213,0.012223118450904397,0.15845322608947754,0.18221092224121094,3
neg_or_tree,64,sbc_half,chuffed,minizinc,SAT,0.16153597831726074,0.16201464335123697,0.0036038944561608715,0.15867400169372559,0.1658339500427246,3
neg_or_tree,64,sbc_half,z3,smt,SAT,0.015767812728881836,0.016016642252604168,0.0015286273033818217,0.014627695083618164,0.0176544189453125,3
neg_or_tree,64,sbc_half,cvc5,smt,SAT,0.025163888931274414,0.02545777956644694,0.0035515547650450574,0.022062301635742188,0.02914714813232422,3
