circuit_type,size,variant,solver,backend,status,run_id,wall_time,solve_time
and_tree,256,sbc,chuffed,minizinc,SAT,1,0.16644668579101562,0.001
and_tree,256,sbc,chuffed,minizinc,SAT,2,0.17021918296813965,0.0
and_tree,256,sbc,chuffed,minizinc,SAT,3,0.17046117782592773,0.001
and_tree,256,sbc,z3,smt,SAT,1,0.028077363967895508,
and_tree,256,sbc,z3,smt,SAT,2,0.022893190383911133,
and_tree,256,sbc,z3,smt,SAT,3,0.027692556381225586,
and_tree,256,sbc,cvc5,smt,SAT,1,0.08501935005187988,
and_tree,256,sbc,cvc5,smt,SAT,2,0.09799313545227051,
and_tree,256,sbc,cvc5,smt,SAT,3,0.08364725112915039,
and_tree,256,sbc_half,gecode,minizinc,SAT,1,0.16963529586791992,0.000172155
and_tree,256,sbc_half,gecode,minizinc,SAT,2,0.18026471138000488,0.000252005
and_tree,256,sbc_half,gecode,minizinc,SAT,3,0.17167878150939941,0.000173327
and_tree,256,sbc_half,chuffed,minizinc,SAT,1,0.17156291007995605,0.0
and_tree,256,sbc_half,chuffed,minizinc,SAT,2,0.17424392700195312,0.0
and_tree,256,sbc_half,chuffed,minizinc,SAT,3,0.15897417068481445,0.0
and_tree,256,sbc_half,z3,smt,SAT,1,0.025307655334472656,
and_tree,256,sbc_half,z3,smt,SAT,2,0.020232200622558594,
and_tree,256,sbc_half,z3,smt,SAT,3,0.025066852569580078,
and_tree,256,sbc_half,cvc5,smt,SAT,1,0.05328655242919922,
and_tree,256,sbc_half,cvc5,smt,SAT,2,0.06094789505004883,
and_tree,256,sbc_half,cvc5,smt,SAT,3,0.06318521499633789,
and_tree,512,base,gecode,minizinc,SAT,1,0.1871187686920166,0.000518477
and_tree,512,base,gecode,minizinc,SAT,2,0.19263529777526855,0.000501304
and_tree,512,base,gecode,minizinc,SAT,3,0.18745183944702148,0.000685622
and_tree,512,base,chuffed,minizinc,SAT,1,0.18712139129638672,0.001
and_tree,512,base,chuffed,minizinc,SAT,2,0.18481731414794922,0.0
and_tree,512,base,chuffed,minizinc,SAT,3,0.1737842559814453,0.001
and_tree,512,base,z3,smt,SAT,1,0.03342700004577637,
and_tree,512,base,z3,smt,SAT,2,0.031068086624145508,
and_tree,512,base,z3,smt,SAT,3,0.031289100646972656,
and_tree,512,base,cvc5,smt,SAT,1,0.1985163688659668,
and_tree,512,base,cvc5,smt,SAT,2,0.18808317184448242,
and_tree,512,base,cvc5,smt,SAT,3,0.20724940299987793,
and_tree,512,sbc,gecode,minizinc,SAT,1,0.19745659828186035,0.000544937
and_tree,512,sbc,gecode,minizinc,SAT,2,0.18088603019714355,0.000840044
and_tree,512,sbc,gecode,minizinc,SAT,3,0.19149398803710938,0.000558863
and_tree,512,sbc,chuffed,minizinc,SAT,1,0.1790616512298584,0.001
and_tree,512,sbc,chuffed,minizinc,SAT,2,0.18589305877685547,0.0
and_tree,512,sbc,chuffed,minizinc,SAT,3,0.17891383171081543,0.001
and_tree,512,sbc,z3,smt,SAT,1,0.03784012794494629,
and_tree,512,sbc,z3,smt,SAT,2,0.03485679626464844,
and_tree,512,sbc,z3,smt,SAT,3,0.03496122360229492,
and_tree,512,sbc,cvc5,smt,SAT,1,0.3178684711456299,
and_tree,512,sbc,cvc5,smt,SAT,2,0.22512316703796387,
and_tree,512,sbc,cvc5,smt,SAT,3,0.19722318649291992,
and_tree,512,sbc_half,gecode,minizinc,SAT,1,0.21577048301696777,0.000304043
and_tree,512,sbc_half,gecode,minizinc,SAT,2,0.19549942016601562,0.000359177
and_tree,512,sbc_half,gecode,minizinc,SAT,3,0.2156529426574707,0.000335723
and_tree,512,sbc_half,chuffed,minizinc,SAT,1,0.20438718795776367,0.0
and_tree,512,sbc_half,chuffed,minizinc,SAT,2,0.17594218254089355,0.001
and_tree,512,sbc_half,chuffed,minizinc,SAT,3,0.20166349411010742,0.0
and_tree,512,sbc_half,z3,smt,SAT,1,0.03066730499267578,
and_tree,512,sbc_half,z3,smt,SAT,2,0.027985334396362305,
and_tree,512,sbc_half,z3,smt,SAT,3,0.03145337104797363,
and_tree,512,sbc_half,cvc5,smt,SAT,1,0.14504337310791016,
and_tree,512,sbc_half,cvc5,smt,SAT,2,0.1801166534423828,
and_tree,512,sbc_half,cvc5,smt,SAT,3,0.1131753921508789,
and_tree,1024,base,gecode,minizinc,SAT,1,0.27165794372558594,0.00146867
and_tree,1024,base,gecode,minizinc,SAT,2,0.21941757202148438,0.001178
and_tree,1024,base,gecode,minizinc,SAT,3,0.22050213813781738,0.00108801
and_tree,1024,base,chuffed,minizinc,SAT,1,0.21392321586608887,0.001
and_tree,1024,base,chuffed,minizinc,SAT,2,0.2156224250793457,0.001
and_tree,1024,base,chuffed,minizinc,SAT,3,0.22491908073425293,0.001
and_tree,1024,base,z3,smt,SAT,1,0.06625914573669434,
and_tree,1024,base,z3,smt,SAT,2,0.06097292900085449,
and_tree,1024,base,z3,smt,SAT,3,0.05893445014953613,
and_tree,1024,base,cvc5,smt,SAT,1,0.6391494274139404,
and_tree,1024,base,cvc5,smt,SAT,2,0.6501224040985107,
and_tree,1024,base,cvc5,smt,SAT,3,0.7521812915802002,
and_tree,1024,sbc,gecode,minizinc,SAT,1,0.21432733535766602,0.00107684
and_tree,1024,sbc,gecode,minizinc,SAT,2,0.2412734031677246,0.00132689
and_tree,1024,sbc,gecode,minizinc,SAT,3,0.24215435981750488,0.00103329
and_tree,1024,sbc,chuffed,minizinc,SAT,1,0.26802754402160645,0.001
and_tree,1024,sbc,chuffed,minizinc,SAT,2,0.22141385078430176,0.001
and_tree,1024,sbc,chuffed,minizinc,SAT,3,0.21198010444641113,0.001
and_tree,1024,sbc,z3,smt,SAT,1,0.05478215217590332,
and_tree,1024,sbc,z3,smt,SAT,2,0.055791616439819336,
and_tree,1024,sbc,z3,smt,SAT,3,0.05339813232421875,
and_tree,1024,sbc,cvc5,smt,SAT,1,0.6727924346923828,
and_tree,1024,sbc,cvc5,smt,SAT,2,0.6445369720458984,
and_tree,1024,sbc,cvc5,smt,SAT,3,0.5733773708343506,
and_tree,1024,sbc_half,gecode,minizinc,SAT,1,0.20184588432312012,0.000603467
and_tree,1024,sbc_half,gecode,minizinc,SAT,2,0.2044236660003662,0.000659733
and_tree,1024,sbc_half,gecode,minizinc,SAT,3,0.20349836349487305,0.000654984
and_tree,1024,sbc_half,chuffed,minizinc,SAT,1,0.19804883003234863,0.0
and_tree,1024,sbc_half,chuffed,minizinc,SAT,2,0.20148324966430664,0.001
and_tree,1024,sbc_half,chuffed,minizinc,SAT,3,0.19966936111450195,0.0
and_tree,1024,sbc_half,z3,smt,SAT,1,0.04577207565307617,
and_tree,1024,sbc_half,z3,smt,SAT,2,0.0516200065612793,
and_tree,1024,sbc_half,z3,smt,SAT,3,0.047273874282836914,
and_tree,1024,sbc_half,cvc5,smt,SAT,1,0.25830507278442383,
and_tree,1024,sbc_half,cvc5,smt,SAT,2,0.30893874168395996,
and_tree,1024,sbc_half,cvc5,smt,SAT,3,0.24687576293945312,
and_tree,2048,base,gecode,minizinc,SAT,1,0.2815675735473633,0.00236283
and_tree,2048,base,gecode,minizinc,SAT,2,0.28811144828796387,0.00244335
and_tree,2048,base,gecode,minizinc,SAT,3,0.2806878089904785,0.00220294
and_tree,2048,base,chuffed,minizinc,SAT,1,0.2820606231689453,0.003
and_tree,2048,base,chuffed,minizinc,SAT,2,0.29594945907592773,0.002
and_tree,2048,base,chuffed,minizinc,SAT,3,0.31322431564331055,0.003
and_tree,2048,base,z3,smt,SAT,1,0.09392189979553223,
and_tree,2048,base,z3,smt,SAT,2,0.09837484359741211,
and_tree,2048,base,z3,smt,SAT,3,0.09262347221374512,
and_tree,2048,base,cvc5,smt,SAT,1,1.7836086750030518,
and_tree,2048,base,cvc5,smt,SAT,2,1.93473482131958,
and_tree,2048,base,cvc5,smt,SAT,3,1.8254685401916504,
and_tree,2048,sbc,gecode,minizinc,SAT,1,0.2785027027130127,0.0026854
and_tree,2048,sbc,gecode,minizinc,SAT,2,0.2813270092010498,0.00290833
and_tree,2048,sbc,gecode,minizinc,SAT,3,0.27846789360046387,0.00207323
and_tree,2048,sbc,chuffed,minizinc,SAT,1,0.3114478588104248,0.002
and_tree,2048,sbc,chuffed,minizinc,SAT,2,0.3129734992980957,0.002
and_tree,2048,sbc,chuffed,minizinc,SAT,3,0.2820260524749756,0.003
and_tree,2048,sbc,z3,smt,SAT,1,0.10378050804138184,
and_tree,2048,sbc,z3,smt,SAT,2,0.10410284996032715,
and_tree,2048,sbc,z3,smt,SAT,3,0.0993647575378418,
and_tree,2048,sbc,cvc5,smt,SAT,1,1.8399291038513184,
and_tree,2048,sbc,cvc5,smt,SAT,2,1.8483269214630127,
and_tree,2048,sbc,cvc5,smt,SAT,3,2.025679349899292,
and_tree,2048,sbc_half,gecode,minizinc,SAT,1,0.2525179386138916,0.00122843
and_tree,2048,sbc_half,gecode,minizinc,SAT,2,0.29087281227111816,0.00150685
and_tree,2048,sbc_half,gecode,minizinc,SAT,3,0.2570512294769287,0.00101803
and_tree,2048,sbc_half,chuffed,minizinc,SAT,1,0.2704310417175293,0.001
and_tree,2048,sbc_half,chuffed,minizinc,SAT,2,0.268939733505249,0.001
and_tree,2048,sbc_half,chuffed,minizinc,SAT,3,0.27477598190307617,0.002
and_tree,2048,sbc_half,z3,smt,SAT,1,0.08611273765563965,
and_tree,2048,sbc_half,z3,smt,SAT,2,0.0913231372833252,
and_tree,2048,sbc_half,z3,smt,SAT,3,0.0892791748046875,
and_tree,2048,sbc_half,cvc5,smt,SAT,1,0.8564496040344238,
and_tree,2048,sbc_half,cvc5,smt,SAT,2,0.8094761371612549,
and_tree,2048,sbc_half,cvc5,smt,SAT,3,0.7506647109985352,
and_tree,4096,base,gecode,minizinc,SAT,1,0.43681955337524414,0.0047759
and_tree,4096,base,gecode,minizinc,SAT,2,0.434924840927124,0.00459911
and_tree,4096,base,gecode,minizinc,SAT,3,0.5375821590423584,0.00641969
and_tree,4096,base,chuffed,minizinc,SAT,1,0.5203666687011719,0.006
and_tree,4096,base,chuffed,minizinc,SAT,2,0.4597494602203369,0.005
and_tree,4096,base,chuffed,minizinc,SAT,3,0.4908733367919922,0.005
and_tree,4096,base,z3,smt,SAT,1,0.18428611755371094,
and_tree,4096,base,z3,smt,SAT,2,0.18869471549987793,
and_tree,4096,base,z3,smt,SAT,3,0.2491440773010254,
and_tree,4096,base,cvc5,smt,SAT,1,5.10788893699646,
and_tree,4096,base,cvc5,smt,SAT,2,4.837394714355469,
and_tree,4096,base,cvc5,smt,SAT,3,4.769132852554321,
and_tree,4096,sbc,gecode,minizinc,SAT,1,0.48889780044555664,0.00456157
and_tree,4096,sbc,gecode,minizinc,SAT,2,0.47468996047973633,0.00447159
and_tree,4096,sbc,gecode,minizinc,SAT,3,0.4483025074005127,0.00502854
and_tree,4096,sbc,chuffed,minizinc,SAT,1,0.4611949920654297,0.005
and_tree,4096,sbc,chuffed,minizinc,SAT,2,0.44563889503479004,0.005
and_tree,4096,sbc,chuffed,minizinc,SAT,3,0.4437432289123535,0.006
and_tree,4096,sbc,z3,smt,SAT,1,0.22055864334106445,
and_tree,4096,sbc,z3,smt,SAT,2,0.21462726593017578,
and_tree,4096,sbc,z3,smt,SAT,3,0.19835305213928223,
and_tree,4096,sbc,cvc5,smt,SAT,1,4.952636957168579,
and_tree,4096,sbc,cvc5,smt,SAT,2,4.907854318618774,
and_tree,4096,sbc,cvc5,smt,SAT,3,4.904867649078369,
and_tree,4096,sbc_half,gecode,minizinc,SAT,1,0.3672926425933838,0.00252161
