problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
graphcoloring_kcolorable,80,base,gecode,minizinc,SAT,0.000376491,0.00035774900000000003,8.267198371879073e-05,0.000267315,0.000429441,0.00035774900000000003,3,3,0,0,0
graphcoloring_kcolorable,80,base,chuffed,minizinc,SAT,0.612,0.6143333333333333,0.00585946527708232,0.61,0.621,0.6143333333333333,3,3,0,0,0
graphcoloring_kcolorable,80,base,z3,smt,SAT,18.09,18.21,0.3080584360149864,17.98,18.56,18.21,3,3,0,0,0
graphcoloring_kcolorable,80,base,cvc5,smt,SAT,1.902,1.9073333333333333,0.033321664624285145,1.877,1.943,1.9073333333333333,3,3,0,0,0
graphcoloring_kcolorable,80,sbc,gecode,minizinc,SAT,0.000262065,0.000294319,5.963620114494216e-05,0.000257756,0.000363136,0.000294319,3,3,0,0,0
graphcoloring_kcolorable,80,sbc,chuffed,minizinc,SAT,0.177,0.17733333333333332,0.0035118845842842493,0.174,0.181,0.17733333333333332,3,3,0,0,0
graphcoloring_kcolorable,80,sbc,z3,smt,SAT,3.89,3.87,0.1212435565298213,3.74,3.98,3.87,3,3,0,0,0
graphcoloring_kcolorable,80,sbc,cvc5,smt,SAT,2.219,2.2746666666666666,0.09641749495466766,2.219,2.386,2.2746666666666666,3,3,0,0,0
graphcoloring_kcolorable,90,base,gecode,minizinc,SAT,0.000450791,0.00041504666666666666,7.356994878571911e-05,0.000330434,0.000463915,0.00041504666666666666,3,3,0,0,0
graphcoloring_kcolorable,90,base,chuffed,minizinc,SAT,0.304,0.306,0.003464101615137758,0.304,0.31,0.306,3,3,0,0,0
graphcoloring_kcolorable,90,base,z3,smt,SAT,22.84,22.793333333333333,0.9308777220093587,21.84,23.7,22.793333333333333,3,3,0,0,0
graphcoloring_kcolorable,90,base,cvc5,smt,SAT,9.357,8.821333333333333,1.120082288643711,7.534,9.573,8.821333333333333,3,3,0,0,0
graphcoloring_kcolorable,90,sbc,gecode,minizinc,SAT,0.000316617,0.0003590006666666667,7.673035867460371e-05,0.000312811,0.000447574,0.0003590006666666667,3,3,0,0,0
graphcoloring_kcolorable,90,sbc,chuffed,minizinc,SAT,1.021,1.0143333333333333,0.011547005383792526,1.001,1.021,1.0143333333333333,3,3,0,0,0
graphcoloring_kcolorable,90,sbc,z3,smt,SAT,14.31,14.236666666666666,0.16289055630494112,14.05,14.35,14.236666666666666,3,3,0,0,0
