problem,size,variant,solver,backend,status,run_id,wall_time,solve_time,compilation_time,conflicts,propagations,decisions,nodes,failures,memory_mb
graphcoloring_kcolorable,30,sbc,cvc5,smt,SAT,1,0.020928621292114258,0.017,,,,,,,
graphcoloring_kcolorable,30,sbc,cvc5,smt,SAT,2,0.020096302032470703,0.016,,,,,,,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,0,0.17087435722351074,0.000124014,0.0507275,,482,,4,0,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,1,0.1681685447692871,0.000127501,0.0501172,,482,,4,0,
graphcoloring_kcolorable,40,base,gecode,minizinc,SAT,2,0.1623518466949463,0.000139744,0.0499474,,482,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,0,0.14652085304260254,0.0,0.0521936,,766,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,1,0.1707754135131836,0.001,0.0555577,,766,,4,0,
graphcoloring_kcolorable,40,base,chuffed,minizinc,SAT,2,0.16019272804260254,0.0,0.0515405,,766,,4,0,
graphcoloring_kcolorable,40,base,z3,smt,SAT,0,0.05255413055419922,0.05,,99,7562,2163,,,17.75
graphcoloring_kcolorable,40,base,z3,smt,SAT,1,0.04552483558654785,0.04,,99,7562,2163,,,17.75
graphcoloring_kcolorable,40,base,z3,smt,SAT,2,0.050260305404663086,0.05,,99,7562,2163,,,17.75
graphcoloring_kcolorable,40,base,cvc5,smt,SAT,0,0.08127188682556152,0.076,,,,,,,
graphcoloring_kcolorable,40,base,cvc5,smt,SAT,1,0.08111882209777832,0.076,,,,,,,
graphcoloring_kcolorable,40,base,cvc5,smt,SAT,2,0.0867314338684082,0.081,,,,,,,
graphcoloring_kcolorable,40,sbc,gecode,minizinc,SAT,0,0.18107080459594727,0.000139813,0.0636132,,458,,3,0,
graphcoloring_kcolorable,40,sbc,gecode,minizinc,SAT,1,0.17132854461669922,0.000122821,0.0500711,,458,,3,0,
graphcoloring_kcolorable,40,sbc,gecode,minizinc,SAT,2,0.16432881355285645,0.00016935,0.0509509,,458,,3,0,
graphcoloring_kcolorable,40,sbc,chuffed,minizinc,SAT,0,0.1513674259185791,0.0,0.052487,,694,,3,0,
graphcoloring_kcolorable,40,sbc,chuffed,minizinc,SAT,1,0.15004849433898926,0.001,0.0529113,,694,,3,0,
graphcoloring_kcolorable,40,sbc,chuffed,minizinc,SAT,2,0.14983725547790527,0.0,0.0503303,,694,,3,0,
graphcoloring_kcolorable,40,sbc,z3,smt,SAT,0,0.051444053649902344,0.05,,84,2900,1221,,,17.62
graphcoloring_kcolorable,40,sbc,z3,smt,SAT,1,0.045205116271972656,0.04,,84,2900,1221,,,17.62
graphcoloring_kcolorable,40,sbc,z3,smt,SAT,2,0.049574851989746094,0.04,,84,2900,1221,,,17.62
graphcoloring_kcolorable,40,sbc,cvc5,smt,SAT,0,0.07349419593811035,0.068,,,,,,,
graphcoloring_kcolorable,40,sbc,cvc5,smt,SAT,1,0.08833003044128418,0.083,,,,,,,
graphcoloring_kcolorable,40,sbc,cvc5,smt,SAT,2,0.07038307189941406,0.065,,,,,,,
graphcoloring_kcolorable,50,base,gecode,minizinc,SAT,0,0.1811823844909668,0.000199556,0.0534897,,764,,5,0,
graphcoloring_kcolorable,50,base,gecode,minizinc,SAT,1,0.17545485496520996,0.000200137,0.0518084,,764,,5,0,
graphcoloring_kcolorable,50,base,gecode,minizinc,SAT,2,0.1740105152130127,0.000154391,0.0529005,,764,,5,0,
graphcoloring_kcolorable,50,base,chuffed,minizinc,SAT,0,0.16575908660888672,0.001,0.0532572,,16759,,44,34,
graphcoloring_kcolorable,50,base,chuffed,minizinc,SAT,1,0.17250847816467285,0.001,0.06027,,16759,,44,34,
graphcoloring_kcolorable,50,base,chuffed,minizinc,SAT,2,0.16745805740356445,0.002,0.0534392,,16759,,44,34,
graphcoloring_kcolorable,50,base,z3,smt,SAT,0,0.144683837890625,0.14,,371,26634,4604,,,18.16
graphcoloring_kcolorable,50,base,z3,smt,SAT,1,0.1510481834411621,0.15,,371,26634,4604,,,18.16
graphcoloring_kcolorable,50,base,z3,smt,SAT,2,0.14582157135009766,0.14,,371,26634,4604,,,18.16
graphcoloring_kcolorable,50,base,cvc5,smt,SAT,0,0.2812058925628662,0.276,,,,,,,
graphcoloring_kcolorable,50,base,cvc5,smt,SAT,1,0.2831916809082031,0.278,,,,,,,
graphcoloring_kcolorable,50,base,cvc5,smt,SAT,2,0.278933048248291,0.274,,,,,,,
graphcoloring_kcolorable,50,sbc,gecode,minizinc,SAT,0,0.17487382888793945,0.000172927,0.0537713,,734,,4,0,
graphcoloring_kcolorable,50,sbc,gecode,minizinc,SAT,1,0.1741325855255127,0.000166164,0.0532523,,734,,4,0,
graphcoloring_kcolorable,50,sbc,gecode,minizinc,SAT,2,0.16582703590393066,0.000185009,0.0539775,,734,,4,0,
graphcoloring_kcolorable,50,sbc,chuffed,minizinc,SAT,0,0.1598351001739502,0.0,0.053637,,3194,,7,3,
graphcoloring_kcolorable,50,sbc,chuffed,minizinc,SAT,1,0.16217875480651855,0.0,0.0539245,,3194,,7,3,
graphcoloring_kcolorable,50,sbc,chuffed,minizinc,SAT,2,0.15986108779907227,0.0,0.0533675,,3194,,7,3,
graphcoloring_kcolorable,50,sbc,z3,smt,SAT,0,0.14209890365600586,0.14,,332,24206,3616,,,18.11
graphcoloring_kcolorable,50,sbc,z3,smt,SAT,1,0.14653491973876953,0.14,,332,24206,3616,,,18.11
graphcoloring_kcolorable,50,sbc,z3,smt,SAT,2,0.14624547958374023,0.14,,332,24206,3616,,,18.11
graphcoloring_kcolorable,50,sbc,cvc5,smt,SAT,0,0.26718783378601074,0.261,,,,,,,
graphcoloring_kcolorable,50,sbc,cvc5,smt,SAT,1,0.24257612228393555,0.237,,,,,,,
graphcoloring_kcolorable,50,sbc,cvc5,smt,SAT,2,0.27262330055236816,0.267,,,,,,,
graphcoloring_kcolorable,60,base,gecode,minizinc,SAT,0,0.18080687522888184,0.000264369,0.0573168,,1207,,6,0,
graphcoloring_kcolorable,60,base,gecode,minizinc,SAT,1,0.17786502838134766,0.000215296,0.0606306,,1207,,6,0,
graphcoloring_kcolorable,60,base,gecode,minizinc,SAT,2,0.17879962921142578,0.000188646,0.0559212,,1207,,6,0,
graphcoloring_kcolorable,60,base,chuffed,minizinc,SAT,0,0.17446613311767578,0.003,0.0562368,,58998,,101,89,
graphcoloring_kcolorable,60,base,chuffed,minizinc,SAT,1,0.18558907508850098,0.004,0.0630698,,58998,,101,89,
graphcoloring_kcolorable,60,base,chuffed,minizinc,SAT,2,0.17290520668029785,0.004,0.0561805,,58998,,101,89,
graphcoloring_kcolorable,60,base,z3,smt,SAT,0,0.22397661209106445,0.22,,290,48967,9520,,,18.88
graphcoloring_kcolorable,60,base,z3,smt,SAT,1,0.22580671310424805,0.22,,290,48967,9520,,,18.88
graphcoloring_kcolorable,60,base,z3,smt,SAT,2,0.23085546493530273,0.23,,290,48967,9520,,,18.88
graphcoloring_kcolorable,60,base,cvc5,smt,SAT,0,0.44783473014831543,0.441,,,,,,,
graphcoloring_kcolorable,60,base,cvc5,smt,SAT,1,0.4598264694213867,0.453,,,,,,,
graphcoloring_kcolorable,60,base,cvc5,smt,SAT,2,0.43689703941345215,0.43,,,,,,,
graphcoloring_kcolorable,60,sbc,gecode,minizinc,SAT,0,0.18467378616333008,0.000277584,0.0566954,,1169,,5,0,
graphcoloring_kcolorable,60,sbc,gecode,minizinc,SAT,1,0.173994779586792,0.000199096,0.055898,,1169,,5,0,
graphcoloring_kcolorable,60,sbc,gecode,minizinc,SAT,2,0.17955446243286133,0.000196881,0.0544779,,1169,,5,0,
graphcoloring_kcolorable,60,sbc,chuffed,minizinc,SAT,0,0.17232537269592285,0.001,0.0560992,,5598,,8,3,
graphcoloring_kcolorable,60,sbc,chuffed,minizinc,SAT,1,0.16986846923828125,0.001,0.0550126,,5598,,8,3,
graphcoloring_kcolorable,60,sbc,chuffed,minizinc,SAT,2,0.16592192649841309,0.0,0.0558169,,5598,,8,3,
graphcoloring_kcolorable,60,sbc,z3,smt,SAT,0,0.2503178119659424,0.24,,317,65950,7088,,,19.05
graphcoloring_kcolorable,60,sbc,z3,smt,SAT,1,0.24089598655700684,0.24,,317,65950,7088,,,19.05
graphcoloring_kcolorable,60,sbc,z3,smt,SAT,2,0.25230979919433594,0.25,,317,65950,7088,,,19.05
graphcoloring_kcolorable,60,sbc,cvc5,smt,SAT,0,0.37911057472229004,0.372,,,,,,,
graphcoloring_kcolorable,60,sbc,cvc5,smt,SAT,1,0.38666772842407227,0.38,,,,,,,
graphcoloring_kcolorable,60,sbc,cvc5,smt,SAT,2,0.39328813552856445,0.388,,,,,,,
graphcoloring_kcolorable,70,base,gecode,minizinc,SAT,0,0.1822826862335205,0.000235294,0.0580205,,1672,,7,0,
graphcoloring_kcolorable,70,base,gecode,minizinc,SAT,1,0.1838839054107666,0.000233621,0.0625764,,1672,,7,0,
graphcoloring_kcolorable,70,base,gecode,minizinc,SAT,2,0.19213008880615234,0.000228771,0.0593394,,1672,,7,0,
graphcoloring_kcolorable,70,base,chuffed,minizinc,SAT,0,0.401836633682251,0.221,0.0696069,,3469941,,5870,5220,
graphcoloring_kcolorable,70,base,chuffed,minizinc,SAT,1,0.4076411724090576,0.217,0.0739469,,3469941,,5870,5220,
graphcoloring_kcolorable,70,base,chuffed,minizinc,SAT,2,0.45519018173217773,0.259,0.0742395,,3469941,,5870,5220,
graphcoloring_kcolorable,70,base,z3,smt,SAT,0,1.699049472808838,1.69,,2232,198691,23585,,,21.36
graphcoloring_kcolorable,70,base,z3,smt,SAT,1,1.7009949684143066,1.69,,2232,198691,23585,,,21.36
graphcoloring_kcolorable,70,base,z3,smt,SAT,2,1.7116916179656982,1.7,,2232,198691,23585,,,21.36
graphcoloring_kcolorable,70,base,cvc5,smt,SAT,0,1.3821065425872803,1.375,,,,,,,
graphcoloring_kcolorable,70,base,cvc5,smt,SAT,1,1.3279616832733154,1.321,,,,,,,
graphcoloring_kcolorable,70,base,cvc5,smt,SAT,2,1.3307275772094727,1.324,,,,,,,
graphcoloring_kcolorable,70,sbc,gecode,minizinc,SAT,0,0.19508671760559082,0.000240264,0.0576621,,1626,,6,0,
graphcoloring_kcolorable,70,sbc,gecode,minizinc,SAT,1,0.19805121421813965,0.000236827,0.0677455,,1626,,6,0,
graphcoloring_kcolorable,70,sbc,gecode,minizinc,SAT,2,0.18064594268798828,0.000231056,0.0583173,,1626,,6,0,
graphcoloring_kcolorable,70,sbc,chuffed,minizinc,SAT,0,0.25261807441711426,0.064,0.0741633,,1451761,,2234,1886,
graphcoloring_kcolorable,70,sbc,chuffed,minizinc,SAT,1,0.2633638381958008,0.069,0.07033,,1451761,,2234,1886,
graphcoloring_kcolorable,70,sbc,chuffed,minizinc,SAT,2,0.2512471675872803,0.065,0.0701491,,1451761,,2234,1886,
graphcoloring_kcolorable,70,sbc,z3,smt,SAT,0,1.6818809509277344,1.67,,2115,195896,22823,,,21.4
graphcoloring_kcolorable,70,sbc,z3,smt,SAT,1,1.6806535720825195,1.67,,2115,195896,22823,,,21.4
graphcoloring_kcolorable,70,sbc,z3,smt,SAT,2,1.6550161838531494,1.65,,2115,195896,22823,,,21.4
graphcoloring_kcolorable,70,sbc,cvc5,smt,SAT,0,3.9473180770874023,3.939,,,,,,,
graphcoloring_kcolorable,70,sbc,cvc5,smt,SAT,1,3.665419101715088,3.657,,,,,,,
graphcoloring_kcolorable,70,sbc,cvc5,smt,SAT,2,3.4918417930603027,3.484,,,,,,,
graphcoloring_kcolorable,80,base,gecode,minizinc,SAT,0,0.18485689163208008,0.000267315,0.0631693,,2256,,8,0,
graphcoloring_kcolorable,80,base,gecode,minizinc,SAT,1,0.20010042190551758,0.000376491,0.0632326,,2256,,8,0,
graphcoloring_kcolorable,80,base,gecode,minizinc,SAT,2,0.19629120826721191,0.000429441,0.0629046,,2256,,8,0,
graphcoloring_kcolorable,80,base,chuffed,minizinc,SAT,0,0.7881805896759033,0.612,0.0607842,,10594989,,12869,11551,
graphcoloring_kcolorable,80,base,chuffed,minizinc,SAT,1,0.7932834625244141,0.61,0.0597924,,10594989,,12869,11551,
graphcoloring_kcolorable,80,base,chuffed,minizinc,SAT,2,0.7999773025512695,0.621,0.0586895,,10594989,,12869,11551,
graphcoloring_kcolorable,80,base,z3,smt,SAT,0,18.104801177978516,18.09,,17939,1840185,172639,,,28.58
graphcoloring_kcolorable,80,base,z3,smt,SAT,1,18.580199003219604,18.56,,17850,1794199,169202,,,28.58
graphcoloring_kcolorable,80,base,z3,smt,SAT,2,17.996978998184204,17.98,,17403,1682895,160870,,,28.54
graphcoloring_kcolorable,80,base,cvc5,smt,SAT,0,1.8843934535980225,1.877,,,,,,,
