family,size_param,regime,sbc,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_det_time,rsat_conflicts,rsat_decisions,rsat_propagations,rsat_cpu_s,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,check_ns,check_status,pipeline_gross_s,pipeline_net_s,pipeline_status
php,9,vp,value_precedence,80,87,3319,0.0034,UNSAT,200,0,0,80,0.000723,103,3561,103,3656,0.0018,3656,1406768,OK,3.877,0.647,OK
php,10,none,—,99,98,3521,0.0039,UNSAT,20,1,0,0,0.002066,7,355,7,366,0.0026,366,527893,OK,3.768,0.538,OK
php,10,vp,value_precedence,99,107,4143,0.0041,UNSAT,256,0,0,99,0.000201,124,4479,124,4589,0.0026,4589,1823963,OK,3.838,0.608,OK
php,11,none,—,120,119,4364,0.0044,UNSAT,22,1,0,0,0.001763,7,392,7,403,0.0024,403,515029,OK,3.931,0.701,OK
php,11,vp,value_precedence,120,129,5127,0.0040,UNSAT,319,0,0,120,0.001449,147,5569,147,5695,0.0027,5695,3695054,OK,3.842,0.611,OK
php,12,none,—,143,142,5290,0.0041,UNSAT,24,1,0,0,0.001643,7,417,7,428,0.0023,428,352053,OK,4.024,0.794,OK
php,12,vp,value_precedence,143,153,6229,0.0037,UNSAT,389,0,0,143,0.00075,172,6733,172,6876,0.0031,6876,3826962,OK,3.848,0.617,OK
clique_coloring,2,none,—,22,71,1835,0.0038,UNSAT,2976,28,29,298,0.00039,49,2229,49,2284,0.0024,2284,1113997,OK,2.644,0.508,OK
clique_coloring,2,vp,value_precedence,22,73,1873,0.0045,UNSAT,388,5,4,55,0.001849,287,20744,287,20566,0.0031,20566,3141814,OK,2.644,0.508,OK
clique_coloring,3,none,—,69,330,9289,0.0352,UNSAT,946651,1802,2079,36751,0.021626,1888,159696,1888,162612,0.0086,162612,72925561,OK,3.628,1.491,OK
clique_coloring,3,vp,value_precedence,69,333,9364,0.0094,UNSAT,20436,106,122,1984,0.00427,657,61221,657,60421,0.0030,60421,10236185,OK,3.532,1.395,OK
clique_coloring,4,none,—,188,1321,40949,63.7773,UNSAT,4375407878,1384245,1646701,51693149,59.4973,1390077,185806406,1390077,188553344,6.4220,188553344,131208884063,OK,146.654,144.517,OK
clique_coloring,4,vp,value_precedence,188,1325,41080,0.7100,UNSAT,14452690,15992,19842,548125,0.579261,23544,3717069,23544,3688067,0.0819,3688067,1345882891,OK,10.277,8.14,OK
ramsey,6,none,—,15,40,1162,0.0029,UNSAT,1027,20,27,88,0.00014,31,833,31,876,0.0023,876,480661,OK,4.149,0.907,OK
ramsey,6,vp,value_precedence,15,41,1175,0.0032,UNSAT,513,11,14,53,0.000356,26,580,26,616,0.0026,616,394245,OK,4.041,0.8,OK
ramsey,7,none,—,21,70,2029,0.0034,UNSAT,1092,20,27,89,0.000727,31,841,31,884,0.0030,884,772238,OK,4.536,1.295,OK
ramsey,7,vp,value_precedence,21,71,2042,0.0030,UNSAT,555,11,14,53,0,27,591,27,628,0.0028,628,465241,OK,4.455,1.214,OK
ramsey,8,none,—,28,112,3251,0.0030,UNSAT,1135,20,27,88,0.000961,31,882,31,925,0.0024,925,623163,OK,5.154,1.912,OK
ramsey,8,vp,value_precedence,28,113,3264,0.0035,UNSAT,597,11,14,53,0.001091,28,638,28,676,0.0024,676,714678,OK,5.128,1.886,OK
ramsey,9,none,—,36,168,4885,0.0033,UNSAT,1189,20,27,88,0.000372,31,889,31,932,0.0020,932,782207,OK,6.14,2.898,OK
ramsey,9,vp,value_precedence,36,169,4898,0.0037,UNSAT,639,11,14,53,0.000903,29,653,29,692,0.0024,692,355540,OK,6.258,3.017,OK
ramsey,10,none,—,45,240,6991,0.0037,UNSAT,1243,20,27,88,0.000553,31,891,31,934,0.0024,934,1088432,OK,7.528,4.286,OK
ramsey,10,vp,value_precedence,45,241,7004,0.0036,UNSAT,681,11,14,53,0.000869,30,667,30,707,0.0026,707,1049897,OK,7.536,4.295,OK
oddcycle,5,none,—,5,10,253,0.0024,UNSAT,46,2,1,9,0,13,261,13,283,0.0027,283,215121,OK,2.456,0.287,OK
oddcycle,5,vp,value_precedence,5,11,266,0.0032,UNSAT,6,0,0,5,0,12,190,12,206,0.0026,206,164003,OK,2.447,0.278,OK
oddcycle,7,none,—,7,14,333,0.0026,UNSAT,64,2,1,13,0.000341,15,321,15,347,0.0025,347,233947,OK,2.566,0.397,OK
oddcycle,7,vp,value_precedence,7,15,346,0.0024,UNSAT,8,0,0,7,0,14,214,14,232,0.0022,232,131671,OK,2.436,0.267,OK
oddcycle,9,none,—,9,18,413,0.0025,UNSAT,82,2,1,17,0.000417,17,375,17,405,0.0024,405,284003,OK,2.544,0.375,OK
oddcycle,9,vp,value_precedence,9,19,426,0.0037,UNSAT,10,0,0,9,7e-05,16,238,16,258,0.0021,258,171858,OK,2.538,0.369,OK
oddcycle,11,none,—,11,22,502,0.0026,UNSAT,100,2,1,21,0.000187,19,437,19,471,0.0024,471,329469,OK,2.64,0.471,OK
oddcycle,11,vp,value_precedence,11,23,515,0.0023,UNSAT,12,0,0,11,0.000141,18,263,18,285,0.0021,285,135158,OK,2.648,0.479,OK
oddcycle,13,none,—,13,26,590,0.0025,UNSAT,118,2,1,25,0,21,493,21,531,0.0024,531,252212,OK,2.753,0.584,OK
oddcycle,13,vp,value_precedence,13,27,603,0.0027,UNSAT,14,0,0,13,0,20,287,20,311,0.0025,311,211845,OK,2.765,0.596,OK
oddcycle,15,none,—,15,30,678,0.0029,UNSAT,136,2,1,29,0,23,555,23,597,0.0024,597,195734,OK,2.849,0.68,OK
oddcycle,15,vp,value_precedence,15,31,691,0.0024,UNSAT,16,0,0,15,0.000262,22,311,22,337,0.0020,337,215120,OK,2.833,0.664,OK
oddcycle,17,none,—,17,34,766,0.0028,UNSAT,154,2,1,33,0.000727,25,612,25,658,0.0025,658,290275,OK,3.048,0.879,OK
oddcycle,17,vp,value_precedence,17,35,779,0.0031,UNSAT,18,0,0,17,0.000307,24,335,24,363,0.0024,363,125059,OK,3.039,0.87,OK
oddcycle,19,none,—,19,38,854,0.0030,UNSAT,172,2,1,37,0.000441,27,675,27,725,0.0023,725,223156,OK,3.123,0.954,OK
oddcycle,19,vp,value_precedence,19,39,867,0.0025,UNSAT,20,0,0,19,0.000372,26,359,26,389,0.0029,389,133284,OK,3.119,0.95,OK
